# User:
# joku8258
# Hostname:
# c3cpu-c15-u1-1.rc.int.colorado.edu
# CPU info:
# Architecture:        x86_64
# CPU op-mode(s):      32-bit, 64-bit
# Byte Order:          Little Endian
# CPU(s):              64
# On-line CPU(s) list: 0-63
# Thread(s) per core:  1
# Core(s) per socket:  64
# Socket(s):           1
# NUMA node(s):        1
# Vendor ID:           AuthenticAMD
# CPU family:          25
# Model:               1
# Model name:          AMD EPYC 7713P 64-Core Processor
# Stepping:            1
# CPU MHz:             2505.904
# Computation started at:
# Tue Feb  6 12:06:53 MST 2024
# git commit: f14e4249c69ec30b53491297049546f3ef1d8a55, branch: master, compiled at: Wed Jan 31 10:48:31 MST 2024
#
# nproc used: 1
#
# Number of orbitals:  17, nalpha:  4, nbeta:  4
# Initial state energy:  -152.063
# Number of Cholesky vectors: 143
#
# block     propTime           eshift          weight             energy          cumulative_energy          walltime         Orbital_Energy
     0     0.000e+00       -1.52063e+02     1.00000e+00      -1.520625078e+02               -                1.32e-04         0.000000000e+00 
     1     2.500e-01       -1.52176e+02     1.00571e+00      -1.522209340e+02               -                2.03e-03          -6.226610321e-02
     2     5.000e-01       -1.52270e+02     1.00962e+00      -1.522128541e+02               -                3.53e-03          -4.649159593e-02
     3     7.500e-01       -1.52195e+02     1.00518e+00      -1.522564087e+02               -                4.94e-03          -9.028491070e-02
     4     1.000e+00       -1.52146e+02     1.00188e+00      -1.521580510e+02               -                6.37e-03          -4.454772592e-02
     5     1.250e+00       -1.51916e+02     9.90209e-01      -1.522302815e+02               -                7.78e-03          -6.756959545e-02
     6     1.500e+00       -1.51765e+02     9.82147e-01      -1.521565131e+02               -                9.19e-03          -2.795027522e-02
     7     1.750e+00       -1.52173e+02     1.00223e+00      -1.521828211e+02               -                1.06e-02          -3.900210124e-02
     8     2.000e+00       -1.52352e+02     1.01096e+00      -1.521903158e+02               -                1.20e-02          -4.055032276e-02
     9     2.250e+00       -1.52093e+02     9.97701e-01      -1.522002881e+02               -                1.34e-02          -1.222829782e-02
    10     2.500e+00       -1.52464e+02     1.01608e+00      -1.522329189e+02               -                1.49e-02          -4.590188976e-02
    11     2.750e+00       -1.52155e+02     1.00003e+00      -1.522244036e+02               -                1.63e-02          -3.746655277e-02
    12     3.000e+00       -1.52204e+02     1.00215e+00      -1.522123662e+02               -                1.77e-02          -3.450248641e-02
    13     3.250e+00       -1.52304e+02     1.00693e+00      -1.524539136e+02               -                1.91e-02          -1.320490114e-01
    14     3.500e+00       -1.52623e+02     1.02165e+00      -1.522644745e+02               -                2.05e-02          -5.558180140e-02
    15     3.750e+00       -1.51730e+02     9.76691e-01      -1.521152665e+02               -                2.19e-02          -2.534107343e-02
    16     4.000e+00       -1.52155e+02     9.98084e-01      -1.521552530e+02               -                2.33e-02          -4.814407413e-02
    17     4.250e+00       -1.52359e+02     1.00853e+00      -1.520708962e+02               -                2.47e-02          -2.631177567e-03
    18     4.500e+00       -1.52166e+02     9.99397e-01      -1.522146579e+02               -                2.61e-02          -3.811676129e-02
    19     4.750e+00       -1.52222e+02     1.00203e+00      -1.521765012e+02               -                2.76e-02          -4.298057228e-02
    20     5.000e+00       -1.52514e+02     1.01680e+00      -1.525154659e+02               -                2.90e-02          -1.337125137e-01
    21     5.250e+00       -1.52513e+02     1.01506e+00      -1.529027509e+02               -                3.04e-02          -2.535205550e-01
    22     5.500e+00       -1.52488e+02     1.01030e+00      -1.521889531e+02               -                3.18e-02          -3.144316686e-02
    23     5.750e+00       -1.52742e+02     1.02367e+00      -1.524477641e+02               -                3.32e-02          -8.416762132e-02
    24     6.000e+00       -1.52750e+02     1.02321e+00      -1.529696790e+02               -                3.46e-02          -2.344632931e-01
    25     6.250e+00       -1.52506e+02     1.00739e+00      -1.521890379e+02               -                3.60e-02          -2.642964943e-02
    26     6.500e+00       -1.51796e+02     9.73079e-01      -1.522428775e+02               -                3.74e-02          -2.539674443e-02
    27     6.750e+00       -1.52204e+02     9.93600e-01      -1.523165660e+02               -                3.88e-02          -5.425989309e-02
    28     7.000e+00       -1.51771e+02     9.72408e-01      -1.520864484e+02               -                4.03e-02          -1.092525598e-02
