(1,0)
(0.465649,0.580684)
(-0.552707,0.033631)
(0.520016,-0.271604)
(0.5738,0.135099)
(-0.604906,0.225464)
(0.0443619,0.578894)
(-0.45912,-0.39816)
(0.501412,0.351888)
(0.545898,-0.0515095)
(-0.483576,0.0528227)
(0.149683,-0.425442)
(0.256581,0.462187)
(0.22191,-0.265209)
(-0.217939,0.362631)
(-0.155757,0.843029)
(-0.476117,0.00835418)
(-0.0616714,0.826271)
(-0.466008,-0.167508)
(0.590871,0.348051)
(0.177982,0.339804)
(0.112205,0.314595)
(-0.573234,0.0588491)
(-0.448027,-0.0585706)
(0.0888316,-0.225616)
(0.420993,0.48752)
(-0.401017,0.192428)
(0.527024,-0.370654)
(-0.488258,-0.408105)
(0.402037,-0.362853)
(-0.529186,0.0365236)
(-0.213394,0.34328)
(-0.27833,0.285173)
(0.114604,-0.556437)
(-0.285257,-0.438626)
(-0.116337,-0.769481)
(-0.396012,-0.446501)
(-0.0135651,0.742884)
(0.639679,0.305796)
(0.00445635,0.68841)
(0.702342,-0.28938)
(-0.772795,-0.361285)
(0.419305,-0.394798)
(-0.744206,-0.381147)
(-0.628171,-0.379253)
(0.433935,-0.0358492)
(0.20652,0.351424)
(0.107885,0.553178)
(-0.280005,-0.485581)
(-0.0268098,-0.691439)
(-0.447217,-0.103596)
(-0.302283,-0.763785)
(0.679485,0.00228048)
(0.0454557,-0.725621)
(-0.51388,-0.403246)
(-0.56692,-0.275927)
(0.51997,-0.0257096)
(0.500157,0.456375)
(-0.474526,-0.183717)
(-0.488418,0.398536)
(-0.316921,-0.149404)
(-0.00367759,-0.404656)
(-0.130873,0.426972)
(0.0601115,0.46127)
(-0.325561,-0.0179927)
(-0.0433052,0.377872)
(-0.452566,-0.234778)
(0.410439,0.460432)
(-0.478134,-0.280263)
(-0.124549,-0.499609)
(0.170467,0.579)
(-0.195836,-0.655011)
(-0.322174,-0.0888412)
(-0.400335,-0.366735)
(-0.321611,0.299236)
(-0.687112,-0.344367)
(0.267846,0.297594)
(-0.368332,0.68042)
(-0.195677,-0.547951)
(0.216075,0.306969)
(-0.261411,0.384981)
(0.497847,-0.260351)
(-0.288868,0.288566)
(0.160648,0.143247)
(0.220364,-0.128647)
(0.321892,-0.170447)
(0.0442907,0.156217)
(0.193911,0.185703)
(-0.254394,-0.210508)
(-0.0904232,-0.321474)
(-0.322437,-0.34916)
(-0.553629,0.410349)
(0.387939,-0.0705979)
(0.475511,0.40262)
(0.0647694,0.311128)
(-0.00939495,-0.356548)
(0.0980707,0.522099)
(0.210993,0.43445)
(0.380166,0.306327)
(0.610452,0.321207)
(-0.076509,-0.33874)
(0.332528,0.537602)
(0.0840198,-0.391332)
(0.281972,0.652968)
(0.205103,-0.591999)
(-0.0155578,0.61925)
(0.229121,-0.690442)
(-0.713301,0.401866)
(0.0144901,0.653223)
(-0.318613,0.734344)
(0.285306,0.518936)
(0.514648,-0.0277394)
(0.0966524,0.608757)
(0.236029,0.441629)
(-0.383166,-0.288813)
(0.36683,-0.119003)
(0.156896,0.52323)
(0.637836,-0.065904)
(-0.249975,0.447648)
(0.0993622,-0.527222)
(0.160455,0.38258)
(0.46185,0.191651)
(-0.0143635,0.393755)
(-0.331835,0.0210942)
(0.355727,0.572394)
(0.453371,0.603474)
(0.251502,-0.109733)
(0.448801,-0.202158)
(-0.0278994,0.512685)
(0.660007,-0.431467)
(-0.57186,0.0766804)
(-0.316205,-0.248712)
(0.141162,-0.328907)
(-0.286688,0.26262)
(0.383554,-0.155085)
(-0.0213948,0.475388)
(-0.416269,-0.417718)
(-0.597896,0.154987)
(0.104554,-0.189573)
(0.383746,0.190134)
(-0.141984,0.311697)
(-0.33005,-0.538817)
(-0.28934,-0.494521)
(-0.258914,-0.519943)
(0.300329,0.212553)
(-0.629218,0.112865)
(-0.422495,0.276177)
(0.477478,0.286058)
(0.591012,0.155522)
(-0.0772134,0.524756)
(0.233098,-0.286797)
