(1,0) (0,0) (0,0) (0,0)
(0,0) (1,0) (0,0) (0,0)
(0,0) (0,0) (1,0) (0,0)
(0,0) (0,0) (0,0) (1,0)
(0,0) (0,0) (0,0) (0,0)
(0,0) (0,0) (0,0) (0,0)
(0,0) (0,0) (0,0) (0,0)
(0,0) (0,0) (0,0) (0,0)
(0,0) (0,0) (0,0) (0,0)
(0,0) (0,0) (0,0) (0,0)
(0,0) (0,0) (0,0) (0,0)
(0,0) (0,0) (0,0) (0,0)
(0,0) (0,0) (0,0) (0,0)
(0,0) (0,0) (0,0) (0,0)
(0,0) (0,0) (0,0) (0,0)
(0,0) (0,0) (0,0) (0,0)
(0,0) (0,0) (0,0) (0,0)
     (-0.926686,-0.13079)    (0.00732257,-0.370506)     (-0.03316,-0.0849041)   (-0.00136618,0.0732208)
     (0.0357571,-0.36707)    (-0.907374,-0.0236798)      (0.020015,0.0368223)  (-0.00100929,-0.0572858)
    (0.0678198,-0.073786)     (0.0574843,0.0613065)     (-0.926131,-0.117436)    (-0.0111779,0.0159478)
   (0.00831203,0.0718919)   (0.00445042,-0.0517666)    (0.00367665,0.0120271)     (-0.905386,-0.147536)
  (0.00176672,-0.0192169)     (0.0154625,0.0254676)     (0.0151475,0.0167027)   (0.0189233,0.000784151)
    (0.027247,-0.0367553)   (0.00419125,-0.0102381)  (-0.00434834,-0.0323926)     (-0.0096953,0.136647)
  (-0.0178365,0.00117853)    (-0.0262146,0.0131774)    (0.00713328,0.0119642)   (-0.0163939,-0.0764126)
  (-0.0144508,-0.0318507)    (0.0172404,-0.0110864)    (-0.0104739,0.0010315)     (0.0557395,-0.155368)
   (0.0366274,-0.0354714)  (-0.000786236,-0.106831)     (0.0578117,-0.290656)    (-0.0199807,0.0315996)
  (-0.00480052,0.0196593)     (0.00616044,-0.10459)   (-0.00267686,0.0544543)   (0.00897641,-0.0496228)
    (0.0328909,-0.112474)    (0.0495301,-0.0661302)  (-0.00625339,-0.0151028)  (-0.00939551,-0.0622332)
    (-0.016257,0.0251152)   (-0.00974132,0.0123732)    (0.0206882,-0.0362421)     (-0.0415875,0.218955)
  (0.00473062,-0.0182496) (-0.00694503,-0.00974205)     (0.0118404,-0.072685)    (0.00257059,0.0678448)
    (0.0346817,0.0378451)  (-0.00363509,-0.0308551)    (-0.0242877,0.0920605)    (0.0161769,-0.0224938)
    (0.0141475,0.0421923)     (0.0355127,-0.098893)   (0.00352152,-0.0559188)   (-0.00435917,0.0255111)
   (0.00902839,-0.161697)       (0.0559367,0.11085)     (0.00890058,0.124307)    (-0.0312652,0.0726239)
     (0.019045,0.0379586)  (-0.0369058,-0.00121643)      (0.0286709,0.115919)     (0.00439586,0.236899)
    (-0.785592,0.322242)    (-0.186401,-0.350341)   (-0.148259,-0.0251906)      (0.102994,0.123562)
    (-0.126775,-0.38759)     (-0.762868,0.296448)    (0.0313276,0.0647509)   (-0.0861036,-0.132714)
    (0.03766,-0.0958363)     (0.0997788,0.071096)     (-0.793321,0.399716)   (-0.0173001,0.0791191)
     (0.137935,0.101154)   (-0.0864759,-0.103913)  (-0.00716028,0.0793056)      (-0.83941,0.305721)
 (0.00473996,-0.0690816)   (0.0156362,-0.0608963)    (0.0192027,0.0582981) (-0.00375803,-0.0634598)
  (0.012245,-0.00866741)  (-0.0293915,-0.0101995)  (-0.0033273,-0.0410564)     (0.017404,0.0585955)
 (-0.0402725,-0.0413225)    (0.0156918,0.0390788)    (0.0479257,0.0501947)  (-0.0149225,-0.0220011)
 (-0.0229419,-0.0435674) (-0.00941051,-0.0166771)  (-0.0703833,-0.0613827)    (0.0202555,-0.102955)
 (0.0330935,-0.00705418)  (-0.0460773,-0.0324002)   (-0.0851563,-0.246557)    (0.00489754,0.111853)
  (0.0321708,-0.0816342)   (-0.0326559,-0.204378)     (0.0545638,0.114329)   (0.0130927,-0.0196882)
  (0.0108338,-0.0861246)   (-0.0364586,-0.174967)   (-0.0578652,0.0128189)  (-0.0556024,-0.0893443)
   (0.0475811,0.0600439)    (-0.05668,-0.0897966)   (-0.0265146,-0.101658)     (0.0191236,0.202532)
  (0.0133006,-0.0299766)  (-0.0168463,-0.0352355)  (-0.0350134,-0.0824112)    (0.0206984,0.0505323)
  (-0.00210525,-0.04647)   (0.0617562,-0.0243231)     (0.0568536,0.108453)   (0.0297457,-0.0520099)
  (0.0459471,-0.0197589)   (-0.0337244,-0.119821)   (-0.0471744,-0.119485)  (0.00945035,0.00942629)
 (-0.0465747,-0.0837579)    (0.0971099,0.0923381)     (0.0405886,0.086026)   (-0.0238075,-0.034634)
     (0.099275,0.122651)   (-0.0587782,0.0159477)    (0.0897974,0.0497029)      (0.117784,0.192426)
    (-0.488744,0.624591)    (-0.467764,-0.241453)    (-0.0699376,0.149378)      (0.134634,0.186167)
   (-0.406624,-0.322333)     (-0.432082,0.672896)   (-0.0196797,0.0183851)    (-0.124116,0.0394652)
   (0.104634,-0.0445604)    (0.0926041,0.0143159)     (-0.571538,0.689283)  (0.00846874,-0.0552349)
     (0.159636,0.195421) (-0.0776156,-0.00493045)    (0.039234,-0.0599486)     (-0.703476,0.475139)
 (-0.0464956,-0.0273374)     (0.0202187,0.027625)     (0.014252,-0.059885)     (0.0475906,0.011177)
 (-0.0138878,-0.0937195)   (-0.0106627,0.0189152)   (0.00803421,0.0629414)     (0.0273606,0.116596)
  (0.00949212,0.0045643)   (-0.0132719,0.0524506)      (0.101203,0.096763)  (-0.0511056,-0.0424947)
   (0.0210872,0.0768994)   (-0.0230555,0.0237128)  (-0.0303858,-0.0514036)   (0.0398099,-0.0579267)
  (-0.0325224,0.0121133)    (0.0318871,0.0730863)    (-0.191377,-0.142356)  (0.0305243,-0.00472184)
  (0.0629968,-0.0319457)   (-0.125982,-0.0847049)  (-0.0197993,-0.0215276)    (0.0227129,0.0113808)
   (0.0342833,0.0250056)   (-0.0551986,0.0031156)     (0.0573233,0.126015)  (-0.0285813,-0.0135286)
   (0.0137528,-0.107354)    (-0.065163,-0.145844)    (-0.0635545,0.012402)      (0.130072,0.183054)
 (-0.0177589,-0.0211047) (0.000108991,-0.0509339)  (-0.0231287,-0.0783678) (-0.00252122,-0.0590876)
